iter	RMSE
0	96112.53859
1	92155.93654
2	88845.22292
3	86100.90191
4	83717.55849
5	81667.74804
6	79992.68712
7	78536.57172
8	77217.01058
9	76154.80507
10	75254.16927
11	74399.12153
12	73681.54196
13	72593.74049
14	71759.1673
15	70962.54115
16	70293.9112
17	69726.4912
18	69272.67408
19	68925.18659
20	68660.16827
21	68418.92654
22	68192.66034
23	68010.20548
24	67841.79357
25	67660.51081
26	67529.47306
27	67382.63069
28	67271.26606
29	66992.75182
30	66879.1116
31	66781.76629
32	66677.23279
33	66584.98908
34	66496.17729
35	66421.73122
36	66302.08725
37	66183.14998
38	66122.70499
39	66054.54335
40	65996.14247
41	65926.16456
42	65872.21321
43	65816.32905
44	65768.59055
45	65649.14494
46	65605.21498
47	65516.87891
48	65460.06406
49	65375.14436
50	65326.56105
51	65279.45828
52	65192.3903
53	65159.96751
54	65102.5334
55	64912.50984
56	64862.13982
57	64823.43793
58	64777.70843
59	64638.24403
60	64605.04993
61	64505.19472
62	64443.4826
63	64412.73044
64	64269.20094
65	64242.83992
66	64118.6669
67	64059.0339
68	63997.89533
69	63928.66803
70	63884.42514
71	63781.58844
72	63671.85132
73	63591.5717
74	63489.22954
75	63448.878
76	63403.12205
77	63368.18578
78	63341.66998
79	63309.07722
80	63280.97663
81	63252.12155
82	63157.25717
83	63060.87644
84	63003.5173
85	62981.38514
86	62920.89679
87	62901.82599
88	62857.04414
89	62836.90193
90	62815.06986
91	62789.62797
92	62743.825
93	62674.9565
94	62624.27832
95	62590.85123
96	62546.82411
97	62473.22412
98	62403.4299
99	62376.5576
100	62302.3143
101	62269.81127
102	62219.3191
103	62173.29989
104	62122.1638
105	62036.57591
106	62001.38106
107	61962.69816
108	61908.07221
109	61878.23319
110	61829.76188
111	61762.58713
112	61743.64573
113	61678.95706
114	61618.23797
115	61562.69584
116	61520.31875
117	61473.85548
118	61442.31954
119	61398.95575
120	61313.57949
121	61301.62646
122	61253.0097
123	61228.29283
124	61209.95339
125	61171.84262
126	61143.01384
127	61123.50981
128	61079.7341
129	61016.78098
130	60950.21077
131	60922.13389
132	60874.01588
133	60777.8018
134	60733.37758
135	60712.39495
136	60678.97691
137	60660.68731
138	60621.8434
139	60592.96853
140	60568.55853
141	60528.31059
142	60474.78592
143	60435.53735
144	60414.39342
145	60378.82572
146	60331.47957
147	60306.72275
148	60254.7816
149	60199.33068
150	60140.3522
151	60130.44882
152	60098.05585
153	60074.78634
154	60037.93596
155	59997.80934
156	59961.87007
157	59938.80402
158	59926.14452
159	59907.27976
160	59875.06918
161	59827.8875
162	59777.99474
163	59746.36318
164	59728.6637
165	59717.25527
166	59662.85058
167	59639.60034
168	59607.18859
169	59567.66346
170	59552.0941
171	59524.96152
172	59495.79492
173	59453.51621
174	59429.71931
175	59395.4297
176	59378.04345
177	59353.45585
178	59322.61353
179	59280.0181
180	59265.23551
181	59226.44919
182	59208.66701
183	59185.09463
184	59144.98842
185	59134.10142
186	59108.81487
187	59083.2987
188	59048.9655
189	59017.03117
190	58994.28274
191	58975.75046
192	58961.35521
193	58932.57104
194	58917.27026
195	58914.6175
196	58896.30023
197	58867.9635
198	58845.80438
199	58832.86624
200	58805.0379
201	58783.88238
202	58763.57744
203	58749.06437
204	58723.4782
205	58685.59322
206	58643.88559
207	58623.3215
208	58601.97013
209	58584.1953
210	58571.5058
211	58553.66808
212	58526.3291
213	58505.93163
214	58482.65321
215	58466.72808
216	58448.76832
217	58433.58452
218	58425.08522
219	58390.96936
220	58369.28721
221	58346.03984
222	58327.15744
223	58308.11076
224	58294.61503
225	58284.18696
226	58256.07121
227	58225.35367
228	58210.93457
229	58200.21962
230	58188.78783
231	58166.0301
232	58154.63065
233	58134.35701
234	58123.59598
235	58105.86732
236	58079.20955
237	58048.42885
238	58031.71969
239	58010.66155
240	57999.59509
241	57978.22134
242	57960.68543
243	57931.73863
244	57904.51553
245	57882.54421
246	57856.66413
247	57826.56141
248	57817.54654
249	57802.04935
250	57778.87534
251	57762.08696
252	57739.11833
253	57713.67573
254	57705.35914
255	57697.48181
256	57683.20015
257	57662.75869
258	57654.40665
259	57636.28852
260	57611.35917
261	57591.51366
262	57571.0741
263	57564.21669
264	57543.13267
265	57534.91088
266	57517.09521
267	57501.09009
268	57483.77316
269	57455.08495
270	57447.62166
271	57443.02049
272	57436.50679
273	57419.52486
274	57403.98287
275	57396.06547
276	57391.13173
277	57376.04714
278	57353.32024
279	57343.57364
280	57330.80531
281	57318.61592
282	57306.92679
283	57294.63147
284	57278.74273
285	57259.40937
286	57228.95469
287	57212.7738
288	57209.28782
289	57188.46036
290	57174.32962
291	57163.96908
292	57155.98954
293	57133.52265
294	57116.88823
295	57101.57237
296	57068.16605
297	57043.56993
298	57023.82589
299	57012.44594
