iter	Passed	Remaining
0	232	69520
1	302	45026
2	374	37078
3	444	32929
4	512	30256
5	585	28681
6	668	27985
7	729	26643
8	786	25420
9	842	24428
10	900	23668
11	968	23242
12	1035	22857
13	1104	22556
14	1177	22366
15	1235	21935
16	1292	21514
17	1347	21112
18	1413	20911
19	1486	20805
20	1540	20462
21	1596	20178
22	1666	20065
23	1719	19777
24	1776	19540
25	1848	19478
26	1914	19354
27	1974	19181
28	2035	19023
29	2098	18886
30	2167	18809
31	2241	18768
32	2314	18729
33	2381	18629
34	2452	18565
35	2536	18601
36	2640	18765
37	2713	18711
38	2777	18588
39	2848	18512
40	2922	18463
41	2997	18412
42	3068	18339
43	3147	18312
44	3210	18190
45	3275	18086
46	3335	17956
47	3405	17880
48	3476	17810
49	3543	17717
50	3609	17622
51	3674	17524
52	3735	17409
53	3803	17326
54	3872	17250
55	3946	17193
56	4010	17098
57	4082	17033
58	4146	16937
59	4218	16874
60	4288	16802
61	4354	16714
62	4420	16629
63	4492	16565
64	4554	16465
65	4619	16377
66	4687	16300
67	4752	16213
68	4822	16143
69	4886	16054
70	4951	15969
71	5017	15889
72	5093	15837
73	5163	15768
74	5231	15695
75	5297	15614
76	5361	15528
77	5428	15448
78	5495	15372
79	5556	15280
80	5619	15192
81	5684	15111
82	5752	15040
83	5815	14955
84	5882	14878
85	5951	14808
86	6016	14731
87	6082	14652
88	6146	14571
89	6213	14497
90	6277	14416
91	6339	14333
92	6406	14259
93	6477	14195
94	6548	14131
95	6615	14057
96	6679	13977
97	6746	13905
98	6813	13833
99	6884	13768
100	6956	13705
101	7020	13628
102	7086	13553
103	7160	13494
104	7224	13416
105	7293	13347
106	7357	13270
107	7427	13203
108	7495	13135
109	7566	13068
110	7636	13002
111	7703	12931
112	7773	12863
113	7844	12799
114	7908	12722
115	7975	12650
116	8042	12579
117	8110	12509
118	8176	12436
119	8239	12358
120	8309	12293
121	8376	12221
122	8444	12152
123	8520	12093
124	8585	12019
125	8653	11949
126	8721	11879
127	8786	11806
128	8856	11739
129	8924	11670
130	8990	11597
131	9056	11526
132	9124	11457
133	9188	11382
134	9252	11308
135	9312	11230
136	9384	11165
137	9449	11092
138	9517	11024
139	9586	10956
140	9658	10891
141	9725	10821
142	9792	10750
143	9859	10680
144	9931	10616
145	9998	10546
146	10067	10478
147	10135	10409
148	10199	10336
149	10272	10272
150	10341	10204
151	10409	10135
152	10480	10069
153	10546	9998
154	10617	9932
155	10677	9855
156	10742	9784
157	10808	9714
158	10869	9639
159	10939	9571
160	11003	9499
161	11069	9429
162	11140	9363
163	11204	9291
164	11269	9220
165	11330	9146
166	11397	9076
167	11463	9006
168	11528	8936
169	11594	8866
170	11660	8796
171	11725	8726
172	11797	8660
173	11867	8593
174	11934	8524
175	11998	8453
176	12063	8383
177	12125	8310
178	12190	8240
179	12261	8174
180	12328	8105
181	12389	8032
182	12459	7965
183	12525	7896
184	12592	7827
185	12656	7757
186	12735	7695
187	12821	7638
188	12888	7569
189	12953	7499
190	13017	7428
191	13087	7361
192	13148	7289
193	13212	7218
194	13276	7149
195	13337	7077
196	13403	7008
197	13469	6938
198	13532	6868
199	13597	6798
200	13661	6728
201	13728	6660
202	13797	6592
203	13859	6522
204	13925	6453
205	13995	6386
206	14060	6317
207	14126	6248
208	14193	6179
209	14258	6110
210	14323	6041
211	14390	5973
212	14457	5905
213	14523	5836
214	14591	5768
215	14656	5699
216	14722	5631
217	14784	5560
218	14849	5492
219	14919	5425
220	14983	5355
221	15042	5285
222	15112	5218
223	15179	5150
224	15251	5083
225	15316	5015
226	15386	4947
227	15451	4879
228	15514	4810
229	15577	4741
230	15642	4672
231	15706	4603
232	15767	4533
233	15832	4465
234	15895	4396
235	15958	4327
236	16021	4258
237	16085	4190
238	16151	4122
239	16218	4054
240	16272	3983
241	16335	3915
242	16406	3848
243	16467	3779
244	16535	3711
245	16598	3643
246	16662	3575
247	16727	3507
248	16792	3439
249	16855	3371
250	16923	3303
251	16991	3236
252	17059	3169
253	17129	3102
254	17194	3034
255	17261	2966
256	17324	2898
257	17386	2830
258	17450	2762
259	17512	2694
260	17576	2626
261	17646	2559
262	17707	2491
263	17772	2423
264	17835	2355
265	17904	2288
266	17970	2221
267	18036	2153
268	18102	2086
269	18168	2018
270	18231	1950
271	18289	1882
272	18349	1814
273	18415	1747
274	18480	1680
275	18545	1612
276	18610	1545
277	18675	1477
278	18738	1410
279	18803	1343
280	18868	1275
281	18934	1208
282	18999	1141
283	19063	1073
284	19129	1006
285	19193	939
286	19262	872
287	19323	805
288	19383	737
289	19450	670
290	19513	603
291	19577	536
292	19643	469
293	19714	402
294	19775	335
295	19840	268
296	19914	201
297	19981	134
298	20042	67
299	20107	0
